Federal_Subject,Population,Russians,per_Russian,Tatars,per_Tatar,Ukrainians,per_Ukrainian,Armenians,per_Armenian,Germans,per_German
Altai_Republic,206168,114802,55.68%,414,0.20%,1010,0.49%,528,0.26%,700,0.34%
Republic_of_Buryatia,972021,630783,64.89%,6813,0.70%,5654,0.58%,2179,0.22%,1016,0.10%
Tuva_Republic,307930,49434,16.05%,352,0.11%,493,0.16%,512,0.17%,87,0.03%
Republic_of_Khakassia,532403,427647,80.32%,3095,0.58%,5039,0.95%,776,0.15%,5976,1.12%
Altai_Krai,2419755,2234324,92.34%,6794,0.28%,32226,1.33%,7640,0.32%,50701,2.10%
Zabaykalsky_Krai,1107107,977400,88.28%,5857,0.53%,6743,0.61%,3943,0.36%,750,0.07%
Krasnoyarsk_Krai,2828187,2490730,88.07%,34828,1.23%,38012,1.34%,10677,0.38%,22363,0.79%
Irkutsk,2428750,2144075,88.28%,22882,0.94%,30827,1.27%,6558,0.27%,3725,0.15%
Kemerovo,2763135,2536646,91.80%,40229,1.46%,22156,0.80%,10669,0.39%,23125,0.84%
Novosibirsk,2665911,2365845,88.74%,24158,0.91%,22098,0.83%,9508,0.36%,30924,1.16%
Omsk,1977665,1648097,83.34%,41870,2.12%,51841,2.62%,7300,0.37%,50055,2.53%
Tomsk,1047394,922723,88.10%,17029,1.63%,11254,1.07%,2801,0.27%,8687,0.83%
Sakha_Republic,958528,353649,36.90%,8122,0.85%,20341,2.12%,3691,0.39%,1540,0.16%
Kamchatka_Krai,322079,252609,78.43%,2374,0.74%,11488,3.57%,748,0.23%,430,0.13%
Primorsky_Krai,1956497,1675992,85.66%,10640,0.54%,49953,2.55%,5924,0.30%,2087,0.11%
Khabarovsk_Krai,1343869,1183292,88.05%,7836,0.58%,26803,1.99%,2943,0.22%,1793,0.13%
Amur,830103,775590,93.43%,3406,0.41%,16636,2.00%,3948,0.48%,1048,0.13%
Magadan,156996,127936,81.49%,1415,0.90%,9857,6.28%,247,0.16%,395,0.25%
Sakhalin,497973,409786,82.29%,4880,0.98%,12136,2.44%,1240,0.25%,493,0.10%
Jewish_Autonomous_Oblast,176558,160185,90.73%,879,0.50%,4871,2.76%,311,0.18%,247,0.14%
Chukotka_Autonomous_Okrug,50526,25068,49.61%,451,0.89%,2869,5.68%,105,0.21%,108,0.21%
